name,lat,long,cluster
Ang Mo Kio,1.37171,103.84914,North
Bedok,1.32685,103.93081,East
Boon Lay ,1.34443,103.71146,West
Bukit Batok ,1.36007,103.7503,West
Bukit Merah,1.28447,103.81549,South
Bukit Panjang ,1.37647,103.7724,West
Clementi ,1.31359,103.76908,West
Chua Chu Kang,1.38085,103.754,West
Geylang Serai,1.31902,103.89476,East
Hougang ,1.37454,103.88236,North
Jalan Besar,1.30776,103.86173,South
Jurong East,1.3358,103.74418,West
Kreta Ayer,1.28144,103.84304,South
Pasir Ris,1.37406,103.95185,East
Punggol,1.39363,103.91343,East
Queenstown ,1.29091,103.80312,West
Sembawang ,1.44687,103.82061,North
Sengkang ,1.39332,103.89489,North
Serangoon ,1.35102,103.87019,North
Taman Jurong ,1.33496,103.72218,West
Tampines,1.35218,103.9406,East
Toa Payoh,1.33257,103.84827,North
Woodlands,1.43492,103.78717,North
Yishun ,1.42892,103.83348,North
